Количество;Время;Обмены;Итерации;Доп.Присваивания
;;;;
;;;;
BUBBLE;BUBBLE;BUBBLE;BUBBLE;
;;;;
;RAND;;RAND;
;;;;
7000;2029;24496500;24496500;0
8000;2714;31996000;31996000;0
9000;3542;40495500;40495500;0
10000;4445;49995000;49995000;0
11000;5624;60494500;60494500;0
12000;6990;71994000;71994000;0
13000;8277;84493500;84493500;0
14000;9977;97993000;97993000;0
15000;11945;112492500;112492500;0
16000;13847;127992000;127992000;0
17000;15745;144491500;144491500;0
18000;18036;161991000;161991000;0
19000;20755;180490500;180490500;0
20000;23040;199990000;199990000;0
21000;25660;220489500;220489500;0
22000;28999;241989000;241989000;0
23000;32287;264488500;264488500;0
24000;35176;287988000;287988000;0
25000;38163;312487500;312487500;0
26000;42007;337987000;337987000;0
27000;45906;364486500;364486500;0
28000;49264;391986000;391986000;0
29000;53819;420485500;420485500;0
30000;57839;449985000;449985000;0
31000;62855;480484500;480484500;0
32000;66706;511984000;511984000;0
33000;71117;544483500;544483500;0
34000;76211;577983000;577983000;0
35000;81282;612482500;612482500;0
36000;86097;647982000;647982000;0
37000;91056;684481500;684481500;0
38000;97346;721981000;721981000;0
;;;;
;;;;
SHELLS;SHELLS;SHELLS;SHELLS;
;;;;
;RAND;;RAND;
;;;;
1000;0;0;9513;17664
2000;1;0;22603;40790
3000;2;0;38977;70474
4000;5;0;52143;94265
5000;5;0;71022;127973
6000;10;0;88894;157872
7000;9;0;102548;182972
8000;8;0;120053;211682
9000;11;0;145744;258167
10000;14;0;162358;287214
11000;17;0;177257;313793
12000;29;0;210424;360048
13000;21;0;217585;379764
14000;25;0;228459;402583
15000;24;0;245559;433327
16000;28;0;270180;470916
17000;48;0;302330;531461
18000;47;0;324194;566998
19000;37;0;341953;598185
20000;44;0;364310;633578
21000;52;0;387560;671078
22000;44;0;395957;693234
23000;50;0;430456;740586
24000;53;0;491416;815029
25000;58;0;483438;820577
26000;52;0;476978;826598
27000;54;0;477623;841741
28000;62;0;504439;882728
29000;63;0;535064;926495
30000;71;0;564082;968773
31000;80;0;573377;991593
32000;66;0;602677;1034305
33000;78;0;641129;1119264
34000;83;0;672370;1164434
35000;80;0;684664;1191101
36000;86;0;735249;1257009
37000;86;0;753531;1289180
38000;98;0;737463;1287876
;;;;
;NORM;;NORM;
;;;;
1000;0;0;8006;16012
2000;1;0;18006;36012
3000;2;0;30007;60014
4000;5;0;40006;80012
5000;4;0;55005;110010
6000;7;0;66007;132014
7000;6;0;77007;154014
8000;9;0;88006;176012
9000;11;0;108005;216010
10000;12;0;120005;240010
11000;17;0;132008;264016
12000;18;0;144007;288014
13000;23;0;156006;312012
14000;18;0;168007;336014
15000;21;0;180007;360014
16000;24;0;192006;384012
17000;27;0;221005;442010
18000;29;0;234005;468010
19000;37;0;247006;494012
20000;32;0;260005;520010
21000;35;0;273004;546008
22000;36;0;286008;572016
23000;37;0;299008;598016
24000;49;0;312007;624014
25000;41;0;325006;650012
26000;48;0;338006;676012
27000;46;0;351008;702016
28000;56;0;364007;728014
29000;51;0;377006;754012
30000;59;0;390007;780014
31000;55;0;403007;806014
32000;56;0;416006;832012
33000;59;0;462005;924010
34000;67;0;476005;952010
35000;65;0;490006;980012
36000;64;0;504005;1008010
37000;73;0;518004;1036008
38000;70;0;532006;1064012
;;;;
;REVERSE;;REVERSE;
;;;;
0;0;0;0;0
1000;0;0;9037;18031
2000;1;0;20603;40597
3000;2;0;33668;66659
4000;3;0;45862;89856
5000;4;0;61635;121627
6000;8;0;74223;146214
7000;8;0;87358;171346
8000;9;0;99540;195534
9000;15;0;121068;238057
10000;18;0;133425;263417
11000;17;0;145628;288612
12000;18;0;160441;316432
13000;18;0;174128;343116
14000;24;0;187490;369478
15000;24;0;199726;394713
16000;24;0;214286;422280
17000;31;0;245554;483539
18000;36;0;261636;513625
19000;33;0;277818;543803
20000;35;0;290474;570466
21000;43;0;306002;599993
22000;48;0;321455;629439
23000;42;0;337803;659786
24000;42;0;352891;688882
25000;47;0;369262;719248
26000;53;0;383684;747672
27000;53;0;400236;778216
28000;53;0;414564;806552
29000;57;0;429120;835107
30000;62;0;444185;864172
31000;56;0;461055;895041
32000;57;0;475171;923165
33000;74;0;526079;1021062
34000;70;0;541086;1051071
35000;80;0;555861;1080843
36000;71;0;577072;1117061
37000;80;0;593545;1148535
38000;80;0;613710;1183695
;;;;
;;;;
MERGE;MERGE;MERGE;MERGE;
;;;;
;RAND;;RAND;
;;;;
1000;2;0;31001;30000
2000;2;0;68001;66000
3000;6;0;111002;108000
4000;7;0;148001;144000
5000;7;0;200005;195000
6000;9;0;240002;234000
7000;24;0;280003;273000
8000;18;0;320001;312000
9000;19;0;387006;378000
10000;33;0;430005;420000
11000;27;0;473003;462000
12000;32;0;516002;504000
13000;30;0;559005;546000
14000;37;0;602003;588000
15000;36;0;645004;630000
16000;40;0;688001;672000
17000;50;0;782007;765000
18000;49;0;828006;810000
19000;51;0;874006;855000
20000;57;0;920005;900000
21000;56;0;966008;945000
22000;62;0;1012003;990000
23000;64;0;1058004;1035000
24000;67;0;1104002;1080000
25000;70;0;1150006;1125000
26000;97;0;1196005;1170000
27000;75;0;1242004;1215000
28000;91;0;1288003;1260000
29000;80;0;1334006;1305000
30000;88;0;1380004;1350000
31000;89;0;1426005;1395000
32000;97;0;1472001;1440000
33000;99;0;1617008;1584000
34000;106;0;1666007;1632000
35000;107;0;1715007;1680000
36000;118;0;1764006;1728000
37000;114;0;1813009;1776000
38000;120;0;1862006;1824000
;;;;
;NORM;;NORM;
;;;;
1000;1;0;31001;30000
2000;2;0;68001;66000
3000;7;0;111002;108000
4000;7;0;148001;144000
